,0,1,2,3
444,초등 고학년 탐구생활,"초등 고학년 탐구생활 연수가 6학년 담임을 하는 데 많은 도움이 되었습니다. 다른 학년과는 확실히 다른 6학년, 초등 고학년 탐구생활 연수 덕분에 아이들을 조금 더 이해할 수 있었다 생각됩니다.",5점,2022.12.23
445,수업을 살리는 놀이 레시피,교사와 학생이 즐거운 놀이 레시피 연수였습니다. 수업 중에 활용할 수 있는 다양한 놀이 레시피를 알려줘서 많은 도움이 되었습니다.,5점,2022.12.23
446,30시간 성호쌤과 함께하는 랜선 박물관 여행,박물관과 관련된 다양한 지식을 배울 수 있었습니다.,5점,2022.12.22
447,기초영어 회화 핵심표현 Real Speaking,"틀어 놓고 영어 문장 따라 하다 보면 왠지 발음도 좋아진 것 같고, 영어표현도 익히게 되어서 좋아요.
한 강의 당 시간도 길지 않아서 집중력있게 들을 수 있습니다.
마지막에 퀴즈도 풀다보면 오랜만에 영어 공부하는 느낌이 들어서 뿌듯했습니다~",5점,2022.12.22
448,"하루 20분, 상황별 생활영어회화",바쁜 일상 속 짧은 시간 투자(되로 주고)에 비해 높은 효과(말로 받기)를 누릴 수 있었습니다.,5점,2022.12.22
449,"기후 변화 이야기, 교실에 오다",기후 관련 내용들이 사회를 비롯하여 교과서에 등장하고 있습니다. 하지만 학생들에게 직접 가 닿지는 않는 것 같습니다. 우리보다는 더 오래 지구에서 살아갈 학생들을 가르칠 우리 교사들에게 유익한 연수인 것 같습니다. 기후 위기. 교실에서부터 극복해나가봅시다.,5점,2022.12.22
450,교사 자존감 수업,"최근 교사로서 살아가기가 정말 힘이듭니다. 나날이 늘어나는 의무와 감소하는 권한, 증가하는 악성 민원과 제멋대로인 학생들. 가끔씩 또는 꽤나 자주 발생하는 각종 문제로 자존감이 많이 떨어지고 있죠. 떨어지는 자존감은 교사란 직업의 회의로, 회의감은 퇴직으로 이어지고 있습니다. 아직 절반도 안 보낸 교직 인생. 이 연수를 통해 그나마 길이 좀 보이는 것 같습니다.",5점,2022.12.22
451,신병주 교수의 왕으로 산다는 것,"평소 한국사에 관심이 많고, '역사 저널 그날?'인가에서의 신병주 교수님의 전문성과 언변을 보고 신청했습니다. 재미있게 연수 잘 들었습니다.",5점,2022.12.22
452,수업을 살리는 놀이 레시피,올해 오랜만에 체육전담을 맡아 연수를 신청했습니다. 다양한 맛있는 요리를 맛보듯 다양한 체육 수업 레시피를 적용하게 되었습니다. 감사합니다.,5점,2022.12.22
453,메이슨의 Travel English,"외국에 여행만 가면 자신감이 떨어져서 입도 뻥긋 못했는데, 이 연수를 통해서 자신감을 회복합니다.",5점,2022.12.22
454,"[비대면연수 다시보기] 2학기, 아이들과 사회수업 어떻게 할까?","사회수업을 재미있게 하려면 다양한 교수자료가 필요한데 이 연수를 통해서 많은 아이디어를 얻을 수 있었고, 수업하는데 도움이 되는 자료도 많이 얻어서 유익한 연수였습니다.",5점,2022.12.22
455,독립운동 현장읽기 - 의병전쟁,"독립운동에 대한 자세한 설명과 이해도 좋았고, 학생들에게 도움되는 수업을 할 수 있어서 정말 좋았습니다.",5점,2022.12.22
456,15시간 교사를 위한 교실 밖 여행인문학,랜선여행 좋았어요.,5점,2022.12.22
457,"하루 20분, 컬쳐 리스닝 픽업","비록 최신버전의 방송이라고 말 할 수는 없지만, 원어민선생님께서 우리나라 문화유산을 설명해 주는 방식이 재미있었습니다.
긴 시간도 아닌 짧은 시간에 매일 영어를 들을 수 있는 강의였다고 생각합니다. !!",4점,2022.12.22
458,손그림과 파워포인트로 교실 속 콘텐츠 만들기,유익한 연수였습니다. 수업자료 만들 때 큰 도움이 될 것 같아요.,5점,2022.12.21
459,"이구동성, 마음을 다루는 미술활동","급하게 신청해서 들은 연수였는데 학교 현장에서 큰 준비없이 바로 쓸 수 있는 활동들이 많았습니다. 특히 아이들의 마음을 이해하고 다독여주며 미술활동을 연계할 수 있어 참 좋네요. 두 명의 연수 강사님께서 차분하게 진행해주셔 내용 전달이 잘되고, 학습 분량도 부담스럽지 않아 학기 중에 이수하기에 무리가 없습니다. 주변 선생님들께도 추천할 생각입니다. ^^",5점,2022.12.21
460,메이슨의 패턴잉글리쉬,"영어 연수를 듣다보면 회화 중심의 연수는 콘텐츠 내용은 다양한데 남는 게 없을 때가 많고 또 조금 수준을 올려보면 너무 어려워서 중간에 포기할 때도 있었는데요, 메이슨의 패턴 잉글리쉬는 이러한 점을 보완한 연수입니다.
우선 패턴은 간단하나 응용을 하면서 문장의 구조까지 쉽게 학습할 수 있게 되어 있고
복잡하지 않고 차분한 진행이 오히려 학습이 끝난 후 기억에 더 잘 저장되는 것 같았어요.
문장도 평소에 많이 쓰는 것으로 구성이 되었고, 중간중간 핵심 문장을 변형한 예도 알려주셔서 좋았습니다.
한 번 듣고 끝낼 게 아니라 반복해서 복습을 해야겠다는 생각이 든 연수라 다른 분께도 추천해드리고 싶네요. 물론 저처럼 초보가 아닌 분께는 너무 쉬울 수도 있겠습니다.
맨 나중 정리하는 부분에는 오류가 하나 있더라구요. 그건 수정을 하셔야 할 것 같아요~",5점,2022.12.21
461,30시간 성호쌤과 함께하는 랜선 박물관 여행,도움이 되었어요.,3점,2022.12.21
462,30시간 English Grammar in Use 2,1 듣고 2도 함께 듣습니다.,4점,2022.12.21
463,30시간 English Grammar in Use,항상 미뤄뒀던 영어 공부 시작,4점,2022.12.21
464,30시간 같이 읽고 함께 나누는 독서수업방법,항상 중요한 독서 교육! 방법 알고 하니 더 좋습니다.,4점,2022.12.21
465,30시간 스토리텔링을 활용한 초등수학 수업,수학 수업에 새로운 활기를 불어 넣을 수 있었습니다.,4점,2022.12.21
466,30시간 교과수업에 활용하는 진로교육,다양한 진로 교육을 새로이 알 수 있어 좋았습니다.,4점,2022.12.21
467,당장 따라 할 수 있는 사계절 학급운영+이벤트,"학급 아이들과의 한 해 살이를 월별 주제별로 잘 정리해 놓은 연수에요.
(선생님들이 어색한 듯 강의하는 것이 조금 마음에 걸렸지만 ^^;; 좋은 내용이니 더 자신 있게 전달 하셔도 될 듯ㅎㅎ)

학년 시작 전부터 학년 말 이별에 이르기까지.
학급 규칙 세우고 함께 나아가는 방법,
월별로 진행 할 수 있는 이벤트,
이벤트간의 연결고리까지 세밀하게 안내 되었고, 어렵지 않게 설명되어서 좋았습니다.
요즘 트렌드를 반영한 것들도 있어서 좋았고요,
저는 특히 왕 카네이션 만들기, 비법 전수의 날은 꼭 운영해 보고 싶다는 생각이 들었습니다.

학급 운영은 선택과 집중이 필요하겠지만,
신규 선생님이라면 꼭 듣고 자신만의 노하우를 하나씩 더해보면 좋겠어요.
(여기 나와있는 것도 사실 다 하려면 처음엔 벅찰 수도!!)
좋은 연수였습니다.",5점,2022.12.20
468,"나이와 신분을 초월한 독립운동, 그 현장을 읽다",각 자의 위치에서 독립운동을 하는 분들에 대한 이야기 잘 들었습니다.,5점,2022.12.20
469,"30시간 나이와 신분을 초월한 독립운동, 그 현장을 읽다",많은 도움이 되었습니다.,5점,2022.12.20
470,일본어 마스터 1,일본어를 배우기에 연수와 함께 꾸준히 노력한다면 많은 실력 향상이 있을 수 있습니다.,5점,2022.12.20
471,당장 따라 할 수 있는 사계절 학급운영+이벤트,단순하고 틀에 갇힌 학급 운영에서 벗어나 학생들도 교사도 즐겁게 운영할 수 있는 방법들을 배울 수 있었습니다.,5점,2022.12.20
472,온작품 읽기와 그림을 활용한 깊이 있는 수업,"온작품읽기에 대하여 이해할 수 있었던 연수였고, 그림책을 활용하여 온작품읽기를 도전해볼 수 있었던 좋았던 연수였습니다.",5점,2022.12.20
473,수업을 살리는 체육 레시피,체육 수업을 더 활기차고 재미있게 할 수 있는 방법들을 배울 수 있어서 좋았습니다.,5점,2022.12.20
474,쉽게 시작할 수 있는 노션과 ZOOM 활용 꿀팁!,"이제는 노션과 줌이 없으면 안될 것 같은데, 어떻게 준비를 해야하는지 배울 수 있었습니다.",5점,2022.12.20
475,"행복한 학급 만들기, 학생과 교사 자존감 수업",학생과 교사 모두 자존감을 높여 서로를 존중하고 배려할 수 있는 학급을 만들고 싶습니다.,5점,2022.12.20
476,나만의 여행책 만들기,"국어시간에 여행지 소개, 및 여행 다녀온 견문록 작성 지도에 큰 도움이 되었습니다.",5점,2022.12.20
477,7인의 전문의와 함께하는 메디컬 콘서트,건강에 관심이 없던 나를 7명의 유명 전문의사샘들이 친절하고 세심하게 하나하나씩 알려주는 강좌입니다 저뿐만아니라 가족들에게도 널리널리 알려주고 싶은 강좌입니다 정말 유익하고 재밌어요 이런 강좌 개설해주셔서 넘 감사해요^^,5점,2022.12.19
478,"학급경영, 수업, 업무 - 노션으로 한 방에 해결하기",노션을 어떻게 사용하면 좋을지 상세하게 배울 수 있어서 좋았습니다.,5점,2022.12.19
479,30시간 나도 할 수 있다! 현장연구와 SPSS,도전해보겠습니다!!,5점,2022.12.19
480,English Grammar in Use,"영어는 항상 마음의 짐이고, 기초를 위해서는 영문법 기초가 필요하다는 것을 스스로 알고 있었습니다. 영어가 항상 고민인만큼, 영어 공부에도 관심이 많아서 직무연수로 영어 수업을 찾다가 티셀파에서 English Grammar in Use 교재로 하는 강의를 찾게 되었습니다.
이 교재가 참 좋은데 마땅한 강의가 없던 중, 티셀파에서 이 강의를 찾아서 참 좋았습니다. 책을 토대로 하여 강의 목록이 잘 짜여져있고, 강사님께서 시간마다 핵심 사항에 대해서 잘 짚어주셔서 좋았습니다. 그리고 학습 마무리에 있는 문제들을 풀면서, 들은 수업에 대해 복습할 수 있어서 아주 좋았습니다.
연수는 다 듣고 끝냈지만, 이번 겨울 방학동안 한 번 더 들으면서 복습할 계획입니다. 기초 영문법을 고민하고 있는 선생님들께 추천합니다.",5점,2022.12.19
481,메이슨의 패턴잉글리쉬,"메이슨 선생님의 영어 연수가 좋아서 이번에도 선택했습니다. 쉽고 재미있게 가르쳐 주시고 일상생활에 도움이 많이 되어 정말 유익한 연수였습니다. 이러다가 메이슨 선생님 연수 모두 찾아서 들을 것 같아요. 벌써 팬이 되었습니다. 영어 회화에 쉽게 다가가고 싶으신 선생님들, 재미있게 영어 공부하고 싶으신 선생님들께 강력 추천합니다.
잊어버리지 않기 위해 복습기간동안 다시 들을 예정입니다.
내년 연수에 또 다른 연수로 뵙겠습니다.
감사합니다.",5점,2022.12.19
482,쉽게 배우고 활용하는 교실 속 손그림 그리기,예술은 삶을 풍부하게 해 준다고 생각해요. 연수 덕에 손그림에 약간 자신이 생겼습니다. 꾸준히 연습하고 능력을 키워 보려고 해요. 강추합니다. 감사합니다!,5점,2022.12.19
483,정훈쌤의 뚝딱 칼림바,단계적으로 수강과정이 이루어지고 칼림바로 다양한 음악을 연주하면서 칼림바 음색에 빠졌습니다. 이벤트로 칼림바 무료 제공 받아서 더욱 유익한 연수가 이루어질 수 있었습니다.,5점,2022.12.19
484,저자가 알려주는 수학 교과서 100% 활용하기 (초등 3~4학년),수학 교과서를 수업 시간에 어떻게 활용해야 할지 고민이 많았어요. 자칫하면 지루해질 수 있는 과목이 수학이니까요ㅎㅎ 이 연수를 들으며 수학 시간에 어떤 활동으로 아이들의 관심과 흥미를 끌 수 있는지 파악할 수 있었어요. 덕분에 아이들이 즐거워하는 수학 시간을 만들 수 있었습니다. 감사합니다^^,5점,2022.12.19
485,지리와 함께하는 인문학 티타임,"평소 우리가 걸어 다니던 길에 대한 궁금증으로 연수를 실시하게 되었다. 방법으로서의 길, 도의적 의미로서의 길 여러 길의 갈래에 대해서 생각해보는 시간이 되었다.

길의 이야기 중 경제와 관련된 부분이 가장 인상적이었다. 길에서 길로 이어지는 비단길과 호박길 그 속에서 발생하는 인간의 역사와 경제의 발달 평소 알지 못했던 관점을 배우는 시간이 되었다.

시골쥐와 서울쥐 이야기를 통해 이촌 향도의 개념과 4학년 사회시간과 관련 지어 학생들에게 이야기 해줄 수 있는 도시와 촌락의 이야기를 통해 우리반 학생들과 재미있는 시간이 되었다. 또한 도시화를 넘어 세계화를 통한 경제의 발전과 그 속에 힘들어지는 농촌의 모습을 통해 4학년 사회 교과에 활용할 수 있는 이야기 꾸러미를 배우는 유익한 연수가 되었다.

미운 아기 오리를 통한 차별에 대한 이야기를 배우고 우리 반 친구들과 도덕시간에 편견과 차별에 대해 이야기 나눌 수 있었다. 정말 교육과정에 도움이 되는 뜻깊은 연수를 통해 나를 발전 시키는 좋은 시간이 되었다.",5점,2022.12.19
486,5시간 수업이 즐거워지는 과학 교과서 활용 꿀팁 (초등 3~4학년),잘들었습니다,4점,2022.12.19
487,30시간 나도 할 수 있다! 현장연구와 SPSS,꼭 도전해보고 싶습니다. 용기얻어 갑니다,5점,2022.12.18
488,15시간 과학 세상을 말하다 (과학이 필요한 시간),인간과 과학에 대해 잘 이해할 수 있는 연수였습니다.,5점,2022.12.18
489,30시간 일본어 마스터 1,일본어 기초를 잘 다질 수 있었습니다.,5점,2022.12.18
490,30시간 English Grammar in Use,영문법 공부에 도움이 많이 되었습니다.,5점,2022.12.18
491,수업을 살리는 체육 레시피,"여러 사정으로 강당이나 운동장을 못나가거나, 기존의 교과서 교육과정과는 색다른 수업구성을 배울 수 있는 알찬 체육연수였습니다. 체육수업에 관심이 많은 선생님들께 적극 추천합니다.",5점,2022.12.18
492,시간을 걷는 인문학,"6학년 학생들 담임을 주로 하던 시절.
일년을 함께 울고 웃던 학생들을 졸업시키며 뭔가 허전함, 공허함을 느끼고 졸업식이 끝나면 무기력 해지던 때.
우연히 들렀던 선암사, 대각암에서 스님께서 해주셨던 욕심을 버리시라던 그 말이 교직의 터닝포인트가 아닌가 생각이 듭니다.
지금은 그 스님이 계시지 않지만 아직도 그 길을 걸을때면 겸손해지는 마음이 듭니다.",5점,2022.12.18
493,학생 자존감 수업,생명존중 자살예방교육 수업에 100퍼센트 활용하고자 합니다. 너무 유익했어요. 수업자료가 있어서 바로 활용 가능해요. 강력추천 연수입니다.,5점,2022.12.17
494,15시간 재테크보다 중요한 나만의 재무설계,좋은 연수 들을수있어 감사드립니다.,4점,2022.12.16
495,손그림과 파워포인트로 교실 속 콘텐츠 만들기,손그림 그리는 활동이 재미있어요 ^^ 수업중 활용도도 높습니다.,5점,2022.12.16
496,"김준우의 톡(Talk)톡(Talk)한국사, 한국사능력검정시험-근현대사",고학년 수업을 하면서 필요했던 한국사 내용입니다. 재미있고 유익했어요 ^^ 근현대사에 이어서 전근대사도 신청했습니다!,5점,2022.12.16
497,성호쌤과 함께하는 랜선 박물관 여행,"박물관 하면 학생들과 줄지어 가면서 대충 보고 갔던 기억이 난다. 이번 연수를 통해 박물관에 대한 시선이 바뀌었다. 박물관을 많이 관람하고 공부했다고 생각했는데 이번 연수를 통해 다른 시각으로 박물관의 위치, 건축 모양, 주변 환경등을 먼저 살펴보고 박물관 내부를 관람해야겠다.
연수를 통해 전시되어 있는 전시물을 관람하는 순서를 먼저 생각해서 차례대로 관람해야겠다는것도 알게 되었다.
그 박물관의 특징을 파악하여 가장 대표적인 전시물에 대해 이해하고 관람한 후 다른것도 관람해야겠다는것도 알게 되었다. 내가 직접 가지 않았지만 랜선으로 다양한 박물관을 보고 공부하였으므로 현장에 나가서 박물관 관람을 잘 할것 같다. 특히 각 박물관의 특징을 기억해서 따뜻한 봄날이 되면 실외 풍경이 멋진 박물관을 관람하고 겨울에는 국립중앙박물관을 자세하게 관람해야겠다.
박물관을 다양한 시선으로 바라볼 수 있는 안목을 키운 귀중한 연수였다. 선생님들에게 강력하게 권하고 싶은 연수다",5점,2022.12.16
498,English Grammar in Use,"영어문법의 기본이죠! grammar in use로 기본문법 재정비 완료입니다. 매 강의 실생활에서 유용한 예시문장으로 구성이 되어있어서 적용이 가능하였고, 강의 후 나오는 quiz는 허를 찌르는 문제였기에 저의 이해점검 확인이 명확하게 되었답니다. 마지막 정리 부분에서 한번더 확인학습 작업까지 하게 해주어 저는 grammar in use로 기본 영문법을 완벽하게 재정비 했다고 말할 수 있습니다. 모든 선생님들께 추천드리며, 영어 문법은 반복에 반복 학습이 필수입니다^^",5점,2022.12.16
499,세상에서 제일 쉬운 과학 이야기,"아이들 과학을 가르치지만 과학이 늘 어렵다고 생각하는
교사 1인입니다.
교육과정을 분석하고 파악하고 외우고 아이들에게 가르치지만 제가 정말 내용을 깊이 이해한다고 생각하지는 않았습니다.

과학.. 더군다나 과학의 역사는 너무 어려워서 아이들에게 가르치다가 질문이라도 받으면 어쩌지? 라는 두려움이 생기기도 했구요..

저에겐 과학을 가르칠 힘! 새로운 무기가 필요했고
세상에서 제일 쉬운 과학 이야기라는 타이틀에 끌려
연수를 신청하게 되었습니다.

아~ 쉽다니 살랑살랑 연수 틀어놓고 일도 하고 해야지~~
하지만 이게 왠일인가요...
심화된 내용에 가볍게 들어서는 이해, 정리, 요약이 전혀 되지 않더라구요..

차분하게 난 고등학생, 수험생이다 라고 생각하고 집중하고 연수를 듣기 시작했습니다.
유용하고 심화된 과학 내용들이 머릿속에 채워지며
아~~~~ 아~~~~~ 를 수십번 하면서 강의를 들었네요^^
강사님 말씀에 점점 빠져들어가게 되더라구요 ㅎㅎㅎ

과학과 더욱 친해지고 싶은 선생님께 강추합니다.",5점,2022.12.16
500,교과서 속 세계문화유산,"아이들이 역사이야기를 좋아하지만 역사는 싫어하지요.
말로만 듣는 역사는 선생님들도 지루해하실 수 있구요.
아이들이 교과서에서 배웠던 세계문화유산들을 영상으로 관찰하고 다양하고 자세한 설명을 통해 이해할 수 있는 연수!!!

선생님께서 연수들으시다가
아!!! 요 부분은 아이들 보여주면 좋겠다!!!!!
싶은 부분이 참!~!~~! 많이 나옵니다 ㅎㅎㅎ

연수는 주로 저만 듣고 말았는데
아이들과 함께 공유할 수 있는 연수는 처음이었습니다.

그만큼 유용하고 또 유용했습니다.
좋은 연수 감사드립니다

#연수는 역시 T셀파연수원",5점,2022.12.16
501,English Grammar in Use 2,"영어 교담도 종종 했었고 학급 담임을 하면서 영어를 가르치다보니 영어는 내 생활 속에 있고 나는 어느정도 영어를 하는 교사라고 자부하며 살았습니다.
그러다 다시 영어 전담을 하고 원어민과 대화를 나누면서
원어민이 고개를 갸웃 갸웃 할 때가 있다는걸 알게 되었죠..

왜지?? 내 말이 틀렸나??

원어민과 대화 시간이 늘어갈 수록
제가 가졌던 영어 부심이 줄어들게 되더군요.,..

그래 내가 너무 자만했어,, 연수 들으면서 내 수준 좀 점검하고 실력 좀 채워보자~!!

그렇게 단단한 마음으로 시작한 연수였고
중, 고등학생 때 다 배웠지만 내가 잊고 있던던 문법들을
다시 한번 점검하고 되새기는
좋은 계기가 되었습니다.

선생님들께도 분명히 도움이 될꺼라 생각합니다.
좋은 연수 감사드립니다.",5점,2022.12.16
502,30시간 메이슨의 Travel English,너무 도움이 되는 좋은 연수입니다.,5점,2022.12.16
503,정훈쌤의 뚝딱 칼림바,"악기와 악보까지 줘서 연습하며 들으니 좋아요.
배워보니 생각보다 쉽고 아이들에게도 지도할 수 있을 것 같아요.
학급에서 아이들 앞에서 연주해주니 학생들도 해보고 싶어하고 시켜주니 제법 잘 합니다~~ 유익한 연수였습니다~~",5점,2022.12.15
504,"이구동성, 마음을 다루는 미술활동","15차시로 구성되어 강사님과 현직 교사가 함께 직접 미술활동을 하면서 미술활동을 하면서 할 수 있는 상담기법도 함께 적용하는 멋진 강좌입니다.
연말에 아이들과 다양한 미술활동을 계획하고 계신다면 다양한 미술을 아이들에게 적용가능하기 때문에 적극 추천하고 싶습니다. 차분하게 미술 기법을 알려주시고, 이에 따른 힘든 아이들까지도 미술에 적용할 수 있는 꿀팁등을 알려주셔서 유익한 연수였습니다. 좋은 강좌 올려주셔서 감사합니다.",5점,2022.12.15
505,English Grammar in Use,"오랜만에 들어 보는 영문법 강의 입니다. 누구나 알고 있을 법한 쉬운 문법 부터 예전 학교 다닐때 똑같다고 배웠으나 조금씩 의미 차이가 있는 문법 정리까지~~
유익한 문법 강의였습니다^*^",5점,2022.12.15
506,"과학저술가 정인경, 이지유와 함께하는 신나는 과학수다",과학의 여러 분야에 대해서 이야기 해주니 더 흥미로웠습니다. 과학으로 알게 된 것을 통해 정의에 대해서도 생각하게 되는 좋은 연수였습니다.,5점,2022.12.15
507,15시간 교사를 위한 교실 밖 여행인문학,바쁜 교실에서 잠시 누리는 행복한 여행,5점,2022.12.15
508,수업을 살리는 체육 레시피,비대면 시대에 꼭 어울리는 연수입니다. 너무 많은 도움을 받았습니다.,4점,2022.12.15
509,아이의 마음을 읽는 다양한 미술치료 기법,문득 이런 생각을 해봅니다. 저학년 학생들에게 그림을 마음을 소통하는 그런 공간 같아요.,4점,2022.12.15
510,정훈쌤의 뚝딱 칼림바,악기도 주고 악보도 주고 너무 좋아요. 코로나 시대에 맞는 연수 추천합니다.,4점,2022.12.15
511,"학급경영, 수업, 업무 - 노션으로 한 방에 해결하기",새로운 학급 경영 노트를 만난것 같아요. 프로그램만 숙지하면 남은 교직생활에 체계가 잡힐것 같아요.,4점,2022.12.15
512,한 번에 끝내는 법정연수 1,"티셀파에서 연수를 듣는다는것은 전혀 상상도 못할일이었는데
올해 유독 많아진 법정연수가 있다는 안내를 받고
학교 거의 모든 교직원이
한번에 끝내는 법정연수를 듣게 되었습니다
짧지만 간략하게 재밌게 제공된 연수 내용에 만족했고
중요 포인트마다 학생 지도시에 도움이 되었습니다
도움도 받고 법정연수도 끝내니 편하더라구요
그런데 하반기에 복지부로부터 추가 보완해야한다는 조치를 받았다는
연락을 받고 순간 걱정했지만
사실을 공개하시고 연수시간을 인정해주신 티셀파분든께 감사드립니다^^
내년에도 티셀파에서 이런연수를 들어보겠습니다",5점,2022.12.15
513,쉽게 시작할 수 있는 노션과 ZOOM 활용 꿀팁!,"노션이라는 프로그램에 대해서 처음 알게 되었다
업무를 개선시켜주고 학생 관리까지 되다니
이런 툴을 꼭 한번 배워서 익혀두면 두고두고 쓸수 있어서 좋다
노션을 활용한 학급경영 할 것이다^^",5점,2022.12.14
514,"5시간 상상을 실천으로, 삶을 바꾸는 사회 수업 이야기",내용이 알차고 도움이 됩니다 감사합니다,3점,2022.12.14
515,15시간 독립운동 현장읽기 - 의병전쟁,유익한연수였습니다,5점,2022.12.14
516,15시간 독립운동 현장읽기 - 구국계몽운동,유익한연수였습니다,5점,2022.12.14
517,5시간 저자가 알려주는 수학 교과서 100% 활용하기 (초등 3~4학년),교과에대한흥미가생긴연수였습니다,5점,2022.12.14
518,5시간 수업이 즐거워지는 과학 교과서 활용 꿀팁 (초등 3~4학년),실생활에도움이되는연수였습니다,5점,2022.12.14
519,"30시간 나이와 신분을 초월한 독립운동, 그 현장을 읽다",감사합니다,1점,2022.12.13
520,30시간 English Grammar in Use,헷갈리는 문법을 잡아줬어요. 감사합니다.,5점,2022.12.13
521,정훈쌤의 뚝딱 칼림바,"청아한 칼림바 소리를 들으며 힐링되는 연수였습니다. 칼림바로 다양한 음악을 연주하고 악보 만드는 법도 배워서 좋았습니다. 칼림바와 악보를 무료로 제공해주니 더할나위 없이 좋았고, 많은 분들에게 소개하고 싶은 연수입니다.",5점,2022.12.13
522,왕초보를 위한 캘리그래피,다양한 재료와 다양한 기법으로 캘리를 할 수 있는 방법을 알려주셔서 좋았습니다!!,5점,2022.12.13
523,정훈쌤의 뚝딱 칼림바,"재미있고 칼림바도 받고
와~~~ 재미 감동 그리고 뿌듯함을 주는 연수",5점,2022.12.13
524,한 번에 끝내는 법정연수 1,교사도 이제 법에 대해 알아야~ 생존이 가능한 시대!!! 저에게도 꼭 필요한 연수이네요,5점,2022.12.13
525,수업이 즐거워지는 과학 교과서 활용 꿀팁 (초등 3~4학년),"너무 재미있고 유익하게 수업을 들었습니다!
과학 교수학습 지식이 조금 부족했는데~
이번에 충족이 되었어요~",5점,2022.12.13
526,손그림과 파워포인트로 교실 속 콘텐츠 만들기,"즐겁고 쉽게 할 수 있는 그림 그리기
우선 아이들에게도 쉽게 가르칠 수 있는 그림이라 좋았고 수업에 많이 유용한 연수였습니다.",5점,2022.12.13
527,기후변화 이야기,다양한 예시를 이해하기 쉽게 들려주셔서 아이들에게도 잘 전달할 수 있을 것 같아요. 유익한 연수 잘 들었습니다!,5점,2022.12.13
528,교과서 속 세계문화유산,"우리 나라의 문화유산에 대해서 다시 한 번 알아보는 좋은 시간이었습니다. 교과 과정과도 연계가 되어서 수업에 적용해 볼 수 있도록 구성되어 좋았습니다.
다만.. 수업이 중고등학교 수업 위주로 구성되어 있었네요 ^^
중고등학교 선생님들께 더 큰 도움이 될 것 같습니다.",4점,2022.12.13
529,30시간 세상에서 제일 쉬운 과학 이야기,좋아요,5점,2022.12.12
530,"하루 20분, 상황별 생활영어회화 2","오랫만에 영어를 해서 어려웠지만, 새롭게 아는 문장이나 요즘 사용하는 문장들이 많이 나오는 것 같아요.방학때 시간내어 다시 한 번 복습을 하면 좋겠어요.",5점,2022.12.12
531,아이의 마음을 읽는 다양한 미술치료 기법,아이의 마음을 읽는 다양한 미술치료 기법 연수가 유익하고 좋았습니다.,5점,2022.12.12
532,교과수업에 활용하는 진로교육,수업 시간에 공부하며 진로교육을 함께할 수 있는 다양한 아이디어를 얻을 수 있어 좋습니다.,5점,2022.12.12
533,쉽게 시작할 수 있는 노션과 ZOOM 활용 꿀팁!,"원격수업이 언제 다시 시작될지 모르는 상황에서 예습, 복습 느낌으로 한번 더 살펴보면 좋을 것 같습니다.^^",5점,2022.12.12
534,독립운동 현장읽기 - 구국계몽운동,독립운동에 관심이 많았는데 특히 구국계몽운동에 대해 보다 잘 이해할 수 있었던 좋은 강의였습니다. 감사합니다.,5점,2022.12.12
535,학생들과 함께 나누는 기후변화 이야기,"기후변화와 관련된 연수를 15차시로 들을까 고민했는데 30차시로 선택하길 참 잘했다고 생각합니다.
이번 연수를 통해 또 한번 “ 배움의 채움 “을 느끼는 보람된 시간이 되었습니다.
단솬히 지구가 아파요, 북극곰이 아파요, 자원을 낭비하지 말아요가 아니라
나의 어떤행동이 원인이 되고, 누군가에게 피해를 주고 있다라는 사실을 알게 되었습니다.
분명 내 삶과 관련이 없고 피해받고 있지 않았는데 기후변화가 기후위기로 오기까지 아무것도 하지 않고 학생들에게도 알려주지 못한 것이 부끄럽더라구요.
나부터 우리가족부터 그리고 우리학생들에게 꼭 알리고 기후변화에
대한 우리 삶의 변화가 절실히 필요하다는것을 깨달았습니다. 소중하고 귀한 연수 감사합니다.",5점,2022.12.12
536,30시간 수업을 살리는 꿀팁 레시피,아주 좋은 연수였습니다.,5점,2022.12.12
537,정훈쌤의 뚝딱 칼림바,요즘 많은 선생님들께서 칼림바를 수업에 많이 적용하고 계셔서 저도 궁금하던 차에 연수를 듣게 되었습니다. 새롭게 악기를 배우는 즐거움을 아이들에게도 전파하겠습니다. 감사합니다~,5점,2022.12.12
538,메이슨의 패턴잉글리쉬,어렵지 않게 설명해주시고 시험도 치기 적당한 난이도여서 추천합니다.,5점,2022.12.12
539,통통한 과학이야기 2,"기대하면 신청한 연수였습니다. 그러나 과학사 이야기를 훑어주는, 굳이 이것을 연수로 들어야 하나 싶었습니다.
그리고 진화론적 과학관에 넘 충실하신 분이라 오히려 거부감이 느껴졌습니다. 과학의 모든 것을 진화로 풀어가시는 것 같아요. 리처드 도킨슨과 같은 분의 영향을 많이 받으신 것 같았습니다.
과학도 과학자의 사상과 가치관에 따라 해석될 수 있다는 것을 오히려 보았습니다. 생물, 자연과 우주 온 세상에서 발견한 원리와 법칙이 과학일 뿐이라고 생각하는데 그것을 하나의 신념과 믿음으로 해석하시는 것 같았습니다.",2점,2022.12.12
