,연수명,내용,별점,등록일
286,설민석의 한국사능력검정시험[심화]-상,이시대를 살면서 평소에도 늘 역사공부가 필요하다고 생각은 하고 살지만 쉽게 시작해 보지 못한 한국사 공부를 이번에 할 수 있게 되어 뿌듯하다. 흥미를 가지고 역사공부를 할 수 있게 잘 만들어진 강의다.,rate5,2023.05.25
287,"민주시민의 길, 평화와 통일교육","막막한 통일 교육 수업에 다가갈수 있는 기회가 되는 연수였습니다.
실제 수업 영상도 보여주어 좋았습니다.",rate5,2023.05.24
288,허쌤의 짬짬이 교실놀이,우리 반 친구들에게 적용 해봐야 겠어요~,rate5,2023.05.24
289,"소통하는 학교, 참여하는 수업을 위한 교사의 퍼실리테이션 역량키우기",퍼실리테이션 적용 꼭 해보고 싶어요. 유익한 연수 감사합니다.,rate5,2023.05.23
290,직업탐구 - 별일입니다,"1. 현재 꿈에 대해 고민이 많은 학생들에게 알려줄 수 있는 30가지 이상의 직업을 알 수 있다.

2. 미래 기술이 포함된 앞으로 유망있는 직업들이라 미래 기술을 공부하는데에도 도움이 된다.

3. 연수 내용이 짜임새가 있으며 페이지를 넘기는 수가 굉장히 적다. 대부분 4개 정도.

4. 교사라면 꼭 들으시길 추천합니다!",rate5,2023.05.23
291,"다함께 Green 미래 환경 교육, 기후위기에 대처하는 에코(ECO) 지식 토크쇼","평소 기후위기 문제에 대해 관심이 많아서
기후위기, 비건 관련 책들을 찾아 읽고
수업에서도 기후 문제를 다루려 노력하는 교사였습니다.
하지만 균형적인 시각을 갖지 못하고
제가 알고 있는 수준 내에서 학생들에게 올바른 정보를 주지 못하고 있는 것은 아닌가? 고민하고 있던차에
선배 선생님을 통해 아이스크림 연수원에서 진행되는 이번 연수 이야기를 듣게 되었습니다.
평소 선배님은 기후위기에 크게 관심이 없으셨고
영재 학생들과 '기후위기'수업 한번 해볼까? 하는 호기심에 연수를 신청했는데
강의를 들으면 들을수록 '큰일났다.' 라는 생각과 함께
학생들에게 제대로 기후위기에 대해 가르쳐야겠구나! 생각하게 되셨다고 하셨습니다.
말씀을 듣자마자 수강신청을 했고
강의를 듣기 시작했습니다.
다양한 분야의 전문가를 통해 기후위기와 관련된 이야기를 들을 수 있어서 흥미 진진했습니다.
참신한 동기유발, 패널들의 토론을 통해서 얻는것도 많았습니다.
꼭 과학, 환경등의 교과 교사 뿐만아니라(저는 중등 입니다.) 다양한 교과 교사들이
수업에서 다룰 수 있는 다양한 소스를 얻을 수 있었습니다.
여름이 다가오면서 학생들이 틈만나면 창문을 열어놓고 에어컨을 켜거나
담요를 뒤집어 쓰고 에어컨 아래 있는 모습을 보며 화를 내고 에어컨 끄는일에 급급했는데
연수를 들으면서 에어컨을 켜면 켤수록 더워지는 원리를 배울 수 있어서
차분하게 화내지 않고 설명해주어 뿌듯하기도 했습니다.
저 한사람 이 연수 들었다고 세상이 바뀌지 않겠지만
저는 교사의 교육의 힘을 믿습니다.
많은 선생님들이 이 연수를 듣고
기후문제의 심각성을 인식해서 자라나는 학생들을 잘 지도하면 정말 좋겠다는 생각이 들었습니다.
홍보 많이많이 하겄습니다.
앞으로도 기후위기 관련 연수 기획 많이 해주시길 부탁드립니다.
정말 좋은 연수 감사드립니다.",rate5,2023.05.23
292,추억 소환! 종이접기 리턴즈,추억을 떠올리며 즐겁게 종이접기를 했어요~~,rate5,2023.05.23
293,수업과 성장을 돕는 과정중심평가_초등 기초,과정중심평가의 기본적인 개념과 학교 현장에서 적용할 수 있는 토대에 대해 잘 설명해주셔서 감사합니다!,rate5,2023.05.23
294,"소통하는 학교, 참여하는 수업을 위한 교사의 퍼실리테이션 역량키우기","학교 관리자로 업무분장에 많은 어려움에 처해 고민이 많았습니다.
퍼실리테이션 역량을 갖춘다면 서로 소통하여 행복한 학교만들기에 도움이 될 것 같아요.",rate5,2023.05.23
295,교실에서 바로 적용하는 스마트기기 활용 수업,연수를 들으며 교과 내용 등에 맞게 바로 적용할 수 있는 내용이 많아 유용했습니다^^,rate5,2023.05.22
296,EBS다큐프라임으로 배우는 생태전환교육,평소 생태전환교육에 관심을 가지고 계시는 분에게 추천합니다. 다양한 동식물에 대하여 자세히 알수 있고 이상 기후에 따른 여러가지 사실을 알 수 있어서 재미있습니다. 다큐멘터리를 잘 보는 사람은 적당한 연수입니다.,rate5,2023.05.22
297,핵심만 콕! 수업에 바로 쓰는 메타버스,다양하게 들을 수 있어서 좋아요,rate5,2023.05.22
298,정재승의 미래학교,이렇게 도움이 되는 연수는 처음이에요 일찍 안들은 걸 후회합니다,rate5,2023.05.22
299,교실에서 바로 적용하는 스마트기기 활용 수업,도움이 많이 되었습니다.,rate5,2023.05.22
300,안전교육 SOS - 아이들을 부탁해!,학생들과 안전 교육을 같이 진행하다보니 안전 교육 수업에 많은 도움이 되었습니다. 감사합니다.,rate5,2023.05.22
301,수업과 성장을 돕는 과정중심평가_초등 기초,만족합니다.,rate5,2023.05.22
302,두근두근! 1학년을 만나는 교사를 위한 한해살이 완벽 가이드 - 학습지도,이해에 도움이 됩니다.,rate5,2023.05.22
303,학습격차를 줄이기 위한 슬기로운 수업방안,재미있는 연수였습니다.,rate5,2023.05.22
304,EBS다큐프라임으로 배우는 생태전환교육,"몰랐던 지식도 많네요.

삶이란 치열합니다.",rate5,2023.05.22
305,"학습격차, 차이를 넘어 함께 성장하기","본 연수를 들으면서 자신을 되돌아 보게 합니다.
가르침에 느슨해지는 마음을 다시 일으켜 세워주고 부족한 아이들을 이해하며 관심을 가질 수 있도록 도움을 준 연수였습니다.
아이스크림 연수원에서 듣는 모든 연수가 항상 배움으로 나를 성장 시켜줍니다. 감사합니다.",rate5,2023.05.22
306,학습격차를 줄이기 위한 슬기로운 수업방안,학습 격차를 줄이기 위한 방법을 배움,rate5,2023.05.22
307,핵심만 콕! 수업에 바로 쓰는 메타버스,"제페토, zep, 코스페이시스 등 교실에서 바로 쓸수 있는 메타버스 활용법에 대한 전반적인 것을 잘 배울 수 있었습니다~!",rate5,2023.05.21
308,EBS다큐프라임으로 배우는 생태전환교육,한 편의 다큐를 보는 것 같이 다양한 주제를 다양한 내레이션의 목소리로 들으니 더욱 재밌었습니다!,rate5,2023.05.21
309,"학습부진, 천천히 함께 걷기","한글, 수학 과목에서 기초학습 부진을 보이는 학생들을 이해하고 지도하는데 도움이 되는 연수였습니다.",rate5,2023.05.21
310,"민주시민의 길, 평화와 통일교육",아이스크림 연수는 항상 유익하고 좋습니다.,rate5,2023.05.20
311,"다함께 Green 미래 환경 교육, 기후위기에 대처하는 에코(ECO) 지식 토크쇼",아이스크림 연수는 항상 유익하고 좋습니다.,rate5,2023.05.20
312,"학습격차, 차이를 넘어 함께 성장하기",아이스크림 연수는 항상 유익하고 좋습니다.,rate5,2023.05.20
313,정재승의 미래학교,학급 및 영재수업에서 많이 활용되는 소스를 연수를 통해 얻었습니다.,rate5,2023.05.19
314,추억 소환! 종이접기 리턴즈,아이들이 좋아하는 종이접기이지만 매번 똑같은 것만 접는 것 같아 고민이었는데 연수를 통해 다양한 종이접기를 배울 수 있어서 좋았습니다.,rate5,2023.05.19
315,조병영의 문해력 수업,"퇴직 후 문해력 지도 교사 자격증 연수를 준비하며 듣게 되었습니다.
이 시간을 통하여 지루한 감은 있었지만, 나의 문해력향상에 힘쓸점을 알게 되었고 꾸준히 신문을 구독하고 읽는 것은 참 좋은 선택이었음을 알게 되었습니다. 학생들,자녀, 손자녀의 문해력 향사에 좀 더 한걸음 나아간 것 같아서 참 만족합니다.",rate5,2023.05.19
316,독서지도사 양성과정 1,독서지도를 전문적으로 할 수 있는 많은 방법을 알게 해주는 유익한 연수였지만 1차시 시간이 너무 길었습니다.,rate4,2023.05.18
317,세상 쉬운 고교학점제! 진로 진학 끝판왕,"학교 현장에 고교학점제 도입으로 인해 심적 부담이 컸는데
교육과정 및 수업 편성에 도움이 되었다.",rate5,2023.05.18
318,두근두근! 1학년을 만나는 교사를 위한 한해살이 완벽 가이드 - 생활지도,.,rate5,2023.05.18
319,"기초학력의 첫걸음, 한글교육",법정 의무 연수라서 들었는데 알차고 좋은 내용이 많더라고요~ 정말 유익합니다^^,rate5,2023.05.17
320,교실에서 바로 적용하는 스마트기기 활용 수업,내가 아는 만큼 보인다는 말이 있다. 학생들에게 보다 가까이 다가가기 위한 방법을 알려주는 효율적이고 고마운 연수라고 생각한다.,rate5,2023.05.16
321,"학습격차, 차이를 넘어 함께 성장하기","실제로 활용할 수 있는 구체적인 예와 방법을 자세하게 소개해 주셔서 많은 도움이 되었습니다.
수업에 당장 사용할 수 있을 것 같아서 좋았습니다.",rate5,2023.05.16
322,"기초학력의 첫걸음, 한글교육","1학년 아이들의 글쓰기 지도 방법이 구체적이고 다양하여 많은 도움이 되겠습니다.
3학년을 가르치지만 아이들이 어려워하는 낱말은 정확하게 발음하며 여러 번 읽을 수 있도록 지도해 보니
아이들이 잘 이해하는 것 같아 좋습니다.
배운 방법을 참고로 계속 잘 지도하겠습니다.
그리고 차분한 선생님의 말씀과 태도도 잘 배웠습니다.
좋은 연수였습니다.",rate5,2023.05.16
323,핵심만 콕! 수업에 바로 쓰는 메타버스,연수를 통해 새로운 것들을 많이 알게되었고 앞으로도 더 알아가야 할 것들이 많다는 것을 느꼈습니다.,rate5,2023.05.16
324,핵심만 콕! 수업에 바로 쓰는 메타버스,미래사회를 준비할 수 있도록 교사의 역량을 키워주는 좋은 연수였습니다,rate5,2023.05.16
325,한 번에 끝내는 미래 교육! 디지털 어벤져스의 특별한 AI 특강,"한 번에 끝내는 미래 교육! 디지털 어벤져스의 특별한 AI 특강
잘 들었습니다.
감사합니다.",rate5,2023.05.16
326,정재승의 미래학교,처음부터 마지막 차시까지 한번도 빨리 넘어가지 않고 끝까지 들었던 최초의 강의였습니다. 너무 유익했습니다. 감사합니다~,rate5,2023.05.16
327,유초등을 사로잡는 감동의 그림책 놀이수업,그림책과 연계한 즐거운 놀이 속 배움이 유익했습니다.,rate5,2023.05.15
328,"민주시민의 길, 평화와 통일교육",수업시간 활용할 수 있도록 사례를 중심으로 한 연수라서 많은 도움이 되었습니다.,rate5,2023.05.15
329,교실에서 바로 적용하는 스마트기기 활용 수업,"다양한 에듀테크를 있다는 것만 어렴풋이 아는 정도였는데 연수를 들으면서 더 상세히 알고 싶다는 생각이 듭니다.
피할 수 없는 부분인 것 같다는 생각도 들고요.
앞으로도 에듀테크를 활용해서 단순하고 지루한 교과서 활동들을 좀 더 재밌고 유익하게 꾸려볼 수 있을 것 같아요",rate5,2023.05.15
330,"기초학력교육, 관계형성이 먼저다.",기초학력 도달을 위해서 무엇을 해야하는지 알게 되었네요.,rate5,2023.05.15
331,서준호 선생님의 놀이 끝판왕 100,"육아휴직 후 복직하고, 아이들과 체육수업이 많이 부담스러워서 들어보았습니다.
매번 왜 체육 수업이 실패하는지 고민스러웠는데,
교사의 멘트 한마디가 수업 성공에 큰 영향을 미칠 수도 있다는 것을 깨닫는 소중한 시간이었습니다.
많은 도구를 사용하지 않고 수업할 수 있도록 구성된 놀이활동도 참 좋았습니다.
잘 기억했다가 학급 아이들과 하나씩 해 봐야겠어요^^",rate5,2023.05.14
332,유초등을 사로잡는 감동의 그림책 놀이수업,초등학교 저학년 학생들에게 그림책을 이용하여 다양한 놀이를 하며 공부도 하고 친구와 좋은 관계를 형성할 수 있도록 도와주는 좋은 연수입니다. 학생들과 교실에서 손쉽게 그림책을 이용하여 놀이를 통해 규칙도 배우고 친구와 사이좋게 지내는 방법을 자연스럽게 익히는 데 도움이 될 것 같습니다. 교실에서 학생들과 함께 웃으며 좋은 추억을 만들 수 있을 것 같습니다. 유익한 연수 감사합니다.^^,rate5,2023.05.14
333,Let's AI 인공지능 교육 활용편,인공지능 교육에 대해 알게 된 연수 입니다. 인공지능 활용 교육에 추천합니다.,rate5,2023.05.13
334,뚜루뚜루와 함께 처음 시작하는 AI 코딩,엔트리와 연동하는 수업입니다. 저는 카드로 뚜루뚜루 사용법을 익히고 싶었는데 제 연수 목적과는 사뭇 다르지만 배워두니 요긴한 것 같습니다. 연수를 신청하실 선생님은 참고하셨으면 좋겠습니다.,rate5,2023.05.12
335,유초등을 사로잡는 감동의 그림책 놀이수업,그림책과 딱 맞는 연극 놀이와 몸짓 놀이를 잘 구상해주셔서 감사합니다. 완벽한 책 구성에도 감사드립니다. 자주 자주 꺼내보겠습니다.,rate5,2023.05.12
336,"민주시민의 길, 평화와 통일교육","분단 70년이 넘어서니 통일에 대한 당위성 또한 새로운 관점으로 관망해야 할 시점에 이르렀나 봅니다. 경력교사들이 생각하는 통일관과 어린 학생들이 생각하는 통일관에는 완연한 온도차가 존재하니 말입니다.
본 연수는 이런 분위기 속에서 학생들에게 어떠한 실효성 있는 교육활동을 제공하여야 할지 다각적으로 가이드하고 있다는 생각이 듭니다.",rate5,2023.05.12
337,유초등을 사로잡는 감동의 그림책 놀이수업,연수명처럼 감동의 그림책 놀이 수업이다. 그림책을 통하여 발문법이나 그리고 할 수 있는 놀이를 통하여 아이들과 마음을 나눌 수 있는 연수여서 너무 좋다. 특히 바로 바로 수업에 투입해 보았을 때 학생들의 참여도와 흥미도는 최고이다. 수시로 들어와서 복습해보고 다양한 놀이수업으로 더욱 즐거운 수업을 하자.,rate5,2023.05.12
338,설민석의 한국사능력검정시험[심화]-상,한국사 끝장판,rate5,2023.05.12
339,디지털 네이티브 아이들의 메타버스 세상,메타버스에 대한 궁금증이 어느 정도 해소된다는 느낌을 받네요.,rate4,2023.05.12
340,"다함께 Green 미래 환경 교육, 기후위기에 대처하는 에코(ECO) 지식 토크쇼",환경의 중요성을 피부로 느낄 수 있어서 좋았습니다.,rate5,2023.05.12
341,"민주시민의 길, 평화와 통일교육",통일교육에 대해서 많은 부담감을 갖고 있었는데 연수를 들으면서 사회에서 일어나는 다양한 사건을 모티브로 하여 통일교육과 접목 시킬 수도 있겠구나 하는 생각이 들었습니다 많이 배웠습니다,rate5,2023.05.12
342,정재승의 미래학교,현재를 사는 내가 미래를 살아가야 하는 아이들을 가르치고 있습니다. 우리 아이들이 살아가야할 미래를 살짝 엿볼 수 있는 즐거운 연수 였습니다.,rate5,2023.05.11
343,유초등을 사로잡는 감동의 그림책 놀이수업,"평소 그림책에 관심이 많아서 그림책 연수를 찾아서 듣곤 하는데 이번 연수는 저희 특수교육대상학생들에게도 그림책을 읽고 적용할 수 있는 다양한 놀이를 알 수 있었고 시도해볼 수 있는 계기되어 뜻깊었습니다. 그림책을 읽어줄때 다양한 질문을 통해 궁금증을 유발시킬 수 있었으며, 다채로운 놀이에 학생들이 참여하면서 재미를 알고 자신감을 느끼는 것을 알 수 있었습니다. 앞으로 지속적으로 그림책과 함께하면서 학생들이 학교에 오면 재미있고, 공감받을 수 있고, 칭찬받을 수 있음을 느끼게 해주고 싶습니다.",rate5,2023.05.11
344,수업과 성장을 돕는 과정중심평가_초등 기초,간만에 좋은 연수를 들었습니다. 과정중심평가에 대한 강사의 고민이 엿보이는 연수였습니다. 학생의 성장이라는 큰 틀에서 접근하여 더 의미있었습니다. 적극 추천합니다.,rate5,2023.05.11
345,독서지도사 양성과정 1,"기초학력 향상을 위한 독서교육을 위해 다시 한 번 기초부터 배우게 되는 기회였다. 새로운 계획을 도전을 위한 발판이 되어서 좋았고, 자세한 강의로 다시 배움의 활력을 넣었던 기회였다",rate5,2023.05.11
346,정재승의 미래학교,"교사이자 부모로써 교육의 나아가야 할 방향에 대해 진지하게 생각해보는 연수였습니다.
아이들에게 무엇을 가르쳐야 할 것인가, 내 아이를 어떻게 길러야 하는지 다시 한 번 생각해보고 점검해볼 수 있어서 의미있는 시간이었습니다.",rate5,2023.05.10
347,EBS다큐프라임으로 배우는 생태전환교육,"대개 연수는 바쁘게 듣다 보니 일 하면서 일단 틀어 놓고 배경 음악처럼 흘려 듣다가 관심 있는 부분이 나오면 그 부분만 잠깐 집중하곤 하는데요, 이번 연수는 다릅니다. 제가 원하던 생태전환연수입니다. EBS 다큐프라임 영상을 쭉 보는 거라 돈 아깝다고 생각할 수도 있지만 그렇지 않습니다. 딱 보고 싶었던 영상들을 모아 둬서 저도 모르게 집중해서 보게 되고, 혹시 내용을 놓칠까 봐 바쁠 땐 일시 멈춤 해 놓고 봅니다. 사실 이렇게 연수를 열심히 듣는 건 오랜만입니다^^;; 게다가 학생용 활동 워크북 20권도 오는데 이건 이것대로 반 아이들과 생태전환교육을 할 수 있어 연수비가 아깝지 않은 이유 중에 하나입니다. 한 마디로 이 연수 생물이나 자연, 생태전환에 조금이라도 관심있는 선생님이시라면 꽤 좋습니다. 간만에 정말 추천하고 싶은 연수라서 아직 연수 중간 쯤 듣고 있는데 벌써 후기를 쓰고 있습니다. 저희 학교에 최근 야생 너구리가 나타나 고민이 많은데, 중간에 너구리 편은 아이들과 특별히 아이들과 연수 영상 일부를 살짝 보며 함께 고민해보았습니다. 하루에 한 강의씩 아껴가며 보고 있는 중이며 이수하고도 천천히 다시 처음부터 돌려볼 생각을 가지고 있습니다. 감사합니다!",rate5,2023.05.10
348,"기초학력의 첫걸음, 한글교육","1학년 한글 미해득 학생을 위해 교사로서 방법을 연구하고 적용하는 데에 많은 도움을 받은 연수였습니다. 혼자서 고민했던 부분들에 대해 자료도 공유해 주시고, 감사합니다^^",rate5,2023.05.10
349,한 번에 끝내는 미래 교육! 디지털 어벤져스의 특별한 AI 특강,"다양한 AI 전문가들이 현재와 미래에 어떻게 AI를 교육에 적용해야 할지 시사점을 주는 연수입니다. 연수 제목만 듣고는 어려울 것 같지만 마치 텔레비전 시사 예능 토크쇼를 듣는 것처럼 편안하게 관련 내용을 익힐 수 있는 장점이 있습니다. 단, 시험 문제는 꽤 어렵습니다. ^^:::",rate5,2023.05.10
350,허쌤의 짬짬이 교실놀이,아이들과 수업 짬짬이 할 수 있는 간단한 놀이와 함께 즐거운 교실을 만들어 보겠습니다. 감사합니다.,rate5,2023.05.10
351,정재승의 미래학교,"정재승 박사의 미래학교에 대한 강의를 호기심 깊게 잘 들었습니다. 미래사회에서의 교육방향과 미래학교가 그리는 지향점에 대해 다시한번더 고민하게되었고, 급변하는 사회변화에 따른 교육의 변화를 모색하는데 도움이 되었습니다. 좋은 연수를 준비해준 연수원에 감사의 말씀을 드립니다.",rate5,2023.05.10
352,"4R'S로 키우는 힘, 기초학력교육","법정 연수라서 들어야해서 신청했던 연수
정말 많은 것을 배울 수 있었다.
유익하고 다시 반복해도 좋을 연수",rate5,2023.05.10
353,전문가가 알려주는 창의 영재교육의 비법,"많은 도움이 됐고,, 유익했습니다",rate5,2023.05.09
354,꿈과 자존감이 자라는 교실 속 직업놀이 진로교육,"요즘 아이들, 요즘 학부모님들, 그리고 요즘 교권. 이렇게 힘든 날들이 있었던가 생각날 때쯤
이 연수를 받았습니다.
아, 내가 좀 더 노력해야겠구나. 이렇게 실용적이고 자세한 직업놀이 진로교육 연수를 받으면서
감동을 많이 받았습니다.
아이들과 해보고 싶어졌습니다. 다시 연수를 들으면서 우리반에 맞는 직업놀이를 계획해봐야겠습니다.
감사합니다!",rate5,2023.05.09
355,직업탐구 - 별일입니다,평소에 알고 있던 직업 외에 주변에 이렇게 다양한 직업이 있다는 것을 연수를 통하여 자세히 알게 되었습니다. 무엇보다 60가지의 별별 직업을 알게 되어서 기쁩니다. 학생들에게도 자신의 특기와 재능을 살릴 수 있도록 별별 직업을 알려주고 싶습니다. 과학과 정보가 발달되어 우리의 생활은 빠르게 변하고 있습니다. 달라지는 환경 속에서 새로운 것을 만들고 자신의 개성을 마음껏 뽐내는 직업을 가지시는 분들이 굉장히 멋있구나 하는 생각이 듭니다. 아마도 미래에는 별별 직업들이 더 많아지지 않을까요? 그리고 어떤 별별 직업이 생길지도 궁금해집니다. 연수를 통하여 경제적인 수입을 떠나 자신이 하고 싶은 일을 열정적으로 찾아서 즐겁게 살아가는 분들이 존경스럽고 대단했습니다. 널리 알려지지 않은 그런 직업이 있기에 우리 생활은 더욱 아름답게 빛나고 편리함을 더해 주는 것 같습니다. 연수 내용 중 아이들이 흥미를 가질 수 있는 직업을 꼭 보여주겠습니다. 정말 유익한 연수였습니다.,rate5,2023.05.09
356,"기초학력의 첫걸음, 한글교육",1학년 지도에 도움이 많이 되었습니다. 2월에 미리 들었으면 좀 더 아이들을 잘 이해할 수 있을 것 같습니다,rate5,2023.05.09
357,"학습부진, 기초튼튼! 실력쑥쑥!",유익한 연수 였어요,rate5,2023.05.09
358,참쌤의 비주얼씽킹 끝판왕,유익한 연수 였어요,rate5,2023.05.09
359,세상 쉬운 고교학점제! 진로 진학 끝판왕,고교학점제를 시행해야하는데 고교학점제가 무엇인지 막막하기만 해서 듣게된 강좌입니다. 기본 설명이 잘 되어 있고 예시가 많아 많은 참고가 되었습니다.,rate5,2023.05.09
360,학생중심의 질문이 있는 교실,아이들과 좀 더 살아있는 수압을 하는데 도움이 되었습니다.,rate5,2023.05.09
361,박진희와 함께 하는 교실 속 환경교육,교실 속 환경 교육을 실천하는 데 많은 도움이 되었습니다.,rate5,2023.05.09
362,"기초학력교육, 관계형성이 먼저다.",많은 것들을 생각하게 되는 유익한 연수였습니다.,rate5,2023.05.09
363,독서지도사 양성과정 2,교사의 발문이 중요하다는 것을 깨닫게 해 주는 연수였어요,rate4,2023.05.08
364,"그림책, 우리 학급의 마음을 두드리다",다양한 그림책을 소개받고 좋았어요. 그런데 전에 들었던 연수더라고요~^^;;; 다른 그림책으로 다시 한 번 연수 진행하면 좋을 것 같아요.,rate5,2023.05.08
365,핵심만 콕! 수업에 바로 쓰는 메타버스,메타버스 연수를 통해 수업에 적용할 수 있는 방법과 구성방법 등을 배우며 흥미로웠습니다,rate5,2023.05.08
366,EBS다큐프라임으로 배우는 생태전환교육,자연에 감사하며 살아야 겠다는 생각이 드는 연수,rate5,2023.05.08
367,수업과 성장을 돕는 과정중심평가_초등 기초,이 연수를 통해 학생들의 수업과 성장을 돕는 과정중심평가를 이해하고 교실에 적용할 수 있는 교사로써의 역량을 스스로 찾았습니다. 좋은 연수에 정말 감사드립니다.,rate5,2023.05.08
368,박진희와 함께 하는 교실 속 환경교육,다양한 학년의 담임선생님들께서 직접 실천하신 생생한 교실 수업 방법을 알 수 있어서 좋았습니다. 이론적인 부분을 앞차시에 알려주시고 중간 차시부터는 실제 수업 사례를 보여주셔서 매칭하기 쉬웠어요.,rate5,2023.05.07
369,EBS다큐프라임으로 배우는 생태전환교육,요즘 핫한 주제인 생태교육을 EBS다큐프라임을 통해 재미있게 알 수 있어서 좋았습니다. 유익한 연수입니다!,rate5,2023.05.07
370,정재승의 미래학교,"지적 즐거움을 자극시켜주고, 배우고 학습하는게 즐거운 어른으로 잘 성장할 수 있도록 좀더 도와주고 싶은
마음이 생기게하는 강의였습니다.
고맙습니다.",rate5,2023.05.06
371,두근두근! 1학년을 만나는 교사를 위한 한해살이 완벽 가이드 - 학습지도,선생님이 여러 해 1학년을 하시며 경험하신 예를 들어 연수 해 주시니 많은 도움이 됩니다. 감사합니다.^^,rate5,2023.05.06
372,미술 속 진짜 아이심리 사로잡기,항상 대화로 이해하는 방식을 벗어나 아이도 교사도 오히려 쉽게 서로에게 다가가는 방법을 알려주는 수업. 늘. 자신을 숨기고 말 이 없는 아이를 이해한 시간이었 습니다.,rate5,2023.05.06
373,독서지도사 양성과정 1,"내용이 방대해서 끝낼 수 있을지 걱정이 앞섰지만, 평소 관심있었던 분야라 열심히 했습니다. 연수 받으며 아이들에게 적용도 하며 지도중 입니다. 꾸준히 해서 아아들 독서 습관을 바로 잡아주려고 합니다. 감사합니다.",rate5,2023.05.06
374,두근두근! 1학년을 만나는 교사를 위한 한해살이 완벽 가이드 - 생활지도,개성이 강한 아이들이 몇 있어서 기대가 걱정이 되었는데 연수를 듣고 걱정이 기대로 바뀌네요.^^,rate5,2023.05.05
375,정재승의 미래학교,"너무 놀랍습니다.
새로운 사실들에 놀라고 또 놀라는 시간들이었습니다.
우리의 미래에 대해서도 더 이해하는 그래서 마음의 준비라도 할 수 있는 시간이었습니다
아이들과 평생 호기심을 갖고 살아가는 방법을 나누고
또 배우는 즐거움을. . ..

감사드리고 여러 동료 선생님과도 나누겠습니다.",rate5,2023.05.05
376,EBS다큐프라임으로 배우는 생태전환교육,"연수제목에 이끌려 신청하게된 연수입니다. 대자연의 신비와 아름다운 지구, 그 속의 여러 생명체를 보며 인간이 함부로 자연을 훼손해서는 안되겠다는 생각이 들었습니다. 환경교육에 관심있는 선생님께서 수강하면 좋을것 같다는 생각이 들었습니다.
다만 강좌가 교육적 부가설명 없이 다큐멘터리를 그대로 가져온듯한 느낌이 들어 아쉬웠고, 시험응시에 있어서 지나치게 세세한 것까지 물어보아 교육적인 면에있어서는 의문이 들었습니다.",rate4,2023.05.04
377,"4R'S로 키우는 힘, 기초학력교육","학습이 어려운 아이들의 고충을 조금이나마 더 알게 되고 좋아하는 것, 학습을 편하게 하는 방법 등 여러가지를 알게 되어 좀 더 이해하고 나아갈 수 있어 좋았어요.",rate5,2023.05.04
378,독서지도사 양성과정 2,"한우리 독서논술교실 강사 양상 프로그램으로
강의 내용이 질적으로 우수합니다.
초등학교 선생님들께서 독서지도에 관심이 있으시다면
이 강좌를 통해 전문성을 함양하시면 많은 도움이 되실거라 생각합니다.
다만, 동영상 강의가 런닝타임이 좀 긴점이 아쉽습니다.",rate5,2023.05.04
379,두근두근! 1학년을 만나는 교사를 위한 한해살이 완벽 가이드 - 학습지도,1학년 담임이 되어 큰 부담이 되었는데 연수를 듣고 자신감이 생겼어요^^,rate5,2023.05.04
380,"메이커교육이 뭐야? 무얼 만들어야 해? - 도구, 재료의 활용법",무엇을 만들까 하는 고민을 싹~ 해결해 주는 연수~,rate5,2023.05.04
381,두근두근! 1학년을 만나는 교사를 위한 한해살이 완벽 가이드 - 생활지도,1학년 담임을 맡는다는게 여간 부담스럽고 도전 과제처럼 여겨졌는데 이 연수를 듣고 나도 할 수 있겠구나 하는 자신감이 생겼어요~,rate5,2023.05.04
382,허쌤의 짬짬이 교실놀이,교실에서 쉬우면서 간단히 그리고 재미있는 게임을 배웠습니다. 유용하게 잘 사용할게요. 감사합니다,rate5,2023.05.04
383,조병영의 문해력 수업,문해력에 대해 모호하게 이해했었는데 문해력에 대해 폭넓게 이해하도록 도와준 연수였습니다. 감사합니다^^,rate5,2023.05.03
384,"기초학력교육, 관계형성이 먼저다.",연수듣는게 힘들었는데 아이스크림 교육은 필요한 내용만 쉽게 구성되어 있어서 정말 좋습니다. 감사합니다.,rate5,2023.05.03
385,"학습격차, 차이를 넘어 함께 성장하기","현장에서 다양한 학습자를 지도하기 위해 학습자료나 수업 방법을 연구하여도 한계가 있었지만, 본 연수를 통해 바로 적용할 수 있을 것 같아 유익했습니다. 도움을 주신 선생님들께 감사드립니다.",rate5,2023.05.03
386,학습격차를 줄이기 위한 슬기로운 수업방안,"학습 격차를 줄이는 실제적이고 실용적인 방안들을 배울 수 있었습니다. 그리고 학습 격차를 줄이는 방향에 대해 저도 더 진지하게 고민하게 되었습니다. 국어, 수학, 일반사회 선생님 세 분께서 경험을 공유해주시는 형식이기 때문에 해당 과목 선생님이시면 훨씬 더 도움이 될 것 같습니다.",rate5,2023.05.02
387,박진희와 함께 하는 교실 속 환경교육,직접 수업에 횔용할 수 있는 좋은 유익한 연수였습니다.,rate5,2023.05.02
388,"기초학력의 첫걸음, 한글교육",체계적인 한글교육으로 저학년의 한글을 쉽게 가르칠 수 있는 방법과 노하우를 습득하게 된 좋은 연수였습니다. 좋은 연수 감사합니다.,rate5,2023.05.02
389,"학습부진, 기초튼튼! 실력쑥쑥!",좋은연수감사합니다,rate3,2023.05.02
390,"참쌤스쿨 그림교실, 교사가 최고의 콘텐츠다",감사합니다,rate3,2023.05.02
